일자,지역구,일일강수량,집중호우
2023-12-31,서초구,7.5,0
2023-12-31,양천구,5.5,0
2023-12-31,영등포구,4.5,0
2023-12-31,용산구,6.0,0
2023-12-31,은평구,4.0,0
2023-12-31,중구,4.5,0
2023-12-31,광진구,3.0,0
2023-12-31,동대문구,1.5,0
2023-12-31,서대문구,2.5,0
2023-12-31,구로구,3.0,0
2023-12-31,도봉구,5.0,0
2023-12-31,금천구,6.5,0
2023-12-31,노원구,2.5,0
2023-12-31,강북구,5.5,0
2023-12-31,강서구,2.0,0
2023-12-31,관악구,10.5,0
2023-12-31,강동구,5.0,0
2023-12-30,도봉구,6.5,0
2023-12-30,동대문구,8.0,0
2023-12-30,서대문구,14.5,0
2023-12-30,서초구,9.5,0
2023-12-30,성동구,5.0,0
2023-12-30,마포구,8.0,0
2023-12-30,송파구,4.5,0
2023-12-30,양천구,9.5,0
2023-12-30,영등포구,9.5,0
2023-12-30,성북구,4.0,0
2023-12-30,은평구,8.5,0
2023-12-30,용산구,10.5,0
2023-12-30,중구,4.0,0
2023-12-30,강서구,5.5,0
2023-12-30,노원구,8.5,0
2023-12-30,관악구,10.0,0
2023-12-30,금천구,10.5,0
2023-12-30,광진구,7.0,0
2023-12-30,구로구,7.5,0
2023-12-30,강남구,4.0,0
2023-12-30,강동구,11.0,0
2023-12-30,강북구,13.0,0
2023-12-25,성동구,0.5,0
2023-12-25,성북구,1.0,0
2023-12-25,송파구,0.5,0
2023-12-25,강남구,0.5,0
2023-12-25,마포구,0.5,0
2023-12-25,용산구,0.5,0
2023-12-25,중구,1.0,0
2023-12-25,양천구,1.0,0
2023-12-25,영등포구,0.5,0
2023-12-25,강동구,0.5,0
2023-12-25,도봉구,1.0,0
2023-12-25,강북구,0.5,0
2023-12-25,관악구,0.5,0
2023-12-24,중구,0.5,0
2023-12-24,서초구,0.5,0
2023-12-24,영등포구,1.0,0
2023-12-24,용산구,0.5,0
2023-12-24,강동구,0.5,0
2023-12-20,용산구,1.0,0
2023-12-20,은평구,0.5,0
2023-12-20,중구,0.5,0
2023-12-20,영등포구,0.5,0
2023-12-20,강동구,0.5,0
2023-12-19,금천구,0.5,0
2023-12-19,강남구,0.5,0
2023-12-16,서대문구,1.5,0
2023-12-16,서초구,2.5,0
2023-12-16,성동구,1.5,0
2023-12-16,성북구,1.0,0
2023-12-16,송파구,1.5,0
2023-12-16,강남구,1.5,0
2023-12-16,동대문구,1.0,0
2023-12-16,용산구,2.5,0
2023-12-16,은평구,1.0,0
2023-12-16,마포구,1.0,0
2023-12-16,중구,1.5,0
2023-12-16,양천구,1.0,0
2023-12-16,영등포구,2.0,0
2023-12-16,강동구,3.0,0
2023-12-16,구로구,0.5,0
2023-12-16,노원구,0.5,0
2023-12-16,도봉구,0.5,0
2023-12-16,강북구,2.5,0
2023-12-16,광진구,1.5,0
2023-12-16,강서구,0.5,0
2023-12-16,관악구,1.5,0
2023-12-15,동대문구,31.5,0
2023-12-15,마포구,29.0,0
2023-12-15,서대문구,31.0,0
2023-12-15,서초구,34.5,0
2023-12-15,성동구,33.5,0
2023-12-15,성북구,35.5,0
2023-12-15,송파구,34.0,0
2023-12-15,양천구,30.0,0
2023-12-15,영등포구,30.5,0
2023-12-15,용산구,34.5,0
2023-12-15,은평구,29.0,0
2023-12-15,관악구,26.5,0
2023-12-15,도봉구,38.5,0
2023-12-15,광진구,36.5,0
2023-12-15,노원구,25.0,0
2023-12-15,구로구,32.0,0
2023-12-15,금천구,33.5,0
2023-12-15,강동구,37.0,0
2023-12-15,강북구,41.0,0
2023-12-15,강서구,33.5,0
2023-12-15,강남구,37.5,0
2023-12-14,노원구,10.0,0
2023-12-14,도봉구,22.5,0
2023-12-14,동대문구,16.0,0
2023-12-14,구로구,16.5,0
2023-12-14,성북구,20.0,0
2023-12-14,송파구,18.0,0
2023-12-14,양천구,15.5,0
2023-12-14,영등포구,15.5,0
2023-12-14,금천구,17.5,0
2023-12-14,용산구,17.5,0
2023-12-14,은평구,12.0,0
2023-12-14,중구,5.5,0
2023-12-14,마포구,14.5,0
2023-12-14,성동구,16.0,0
2023-12-14,서대문구,17.0,0
2023-12-14,서초구,20.0,0
2023-12-14,관악구,22.5,0
2023-12-14,광진구,16.5,0
2023-12-14,강남구,21.5,0
2023-12-14,강서구,17.0,0
2023-12-14,강동구,16.0,0
2023-12-14,강북구,21.5,0
2023-12-12,강남구,1.0,0
2023-12-12,강동구,0.5,0
2023-12-12,관악구,0.5,0
2023-12-12,도봉구,0.5,0
2023-12-12,성동구,0.5,0
2023-12-12,성북구,0.5,0
2023-12-12,송파구,1.0,0
2023-12-12,양천구,0.5,0
2023-12-12,영등포구,0.5,0
2023-12-12,용산구,1.0,0
2023-12-12,동대문구,0.5,0
2023-12-12,마포구,1.0,0
2023-12-12,서초구,1.0,0
2023-12-11,도봉구,15.0,0
2023-12-11,동대문구,10.0,0
2023-12-11,마포구,12.5,0
2023-12-11,서대문구,13.0,0
2023-12-11,서초구,14.0,0
2023-12-11,성동구,11.5,0
2023-12-11,성북구,14.0,0
2023-12-11,송파구,11.0,0
2023-12-11,노원구,10.5,0
2023-12-11,양천구,10.5,0
2023-12-11,중구,2.5,0
2023-12-11,영등포구,11.5,0
2023-12-11,용산구,10.5,0
2023-12-11,강남구,14.0,0
2023-12-11,광진구,10.0,0
2023-12-11,구로구,14.0,0
2023-12-11,금천구,13.0,0
2023-12-11,강동구,9.0,0
2023-12-11,관악구,14.5,0
2023-12-11,강북구,14.5,0
2023-12-11,강서구,15.0,0
2023-12-06,금천구,2.0,0
2023-12-06,노원구,2.5,0
2023-12-06,서대문구,3.0,0
2023-12-06,서초구,3.5,0
2023-12-06,성동구,1.0,0
2023-12-06,도봉구,4.0,0
2023-12-06,송파구,3.5,0
2023-12-06,영등포구,3.0,0
2023-12-06,용산구,0.5,0
2023-12-06,동대문구,2.5,0
2023-12-06,중구,2.0,0
2023-12-06,마포구,4.5,0
2023-12-06,성북구,2.5,0
2023-12-06,강동구,2.0,0
2023-12-06,구로구,2.5,0
2023-12-06,강북구,3.0,0
2023-12-06,광진구,1.5,0
2023-12-06,강서구,1.5,0
2023-12-06,관악구,2.5,0
2023-12-06,강남구,3.0,0
2023-11-27,관악구,2.5,0
2023-11-27,광진구,2.5,0
2023-11-27,구로구,2.0,0
2023-11-27,금천구,2.0,0
2023-11-27,노원구,0.5,0
2023-11-27,도봉구,5.5,0
2023-11-27,동대문구,3.0,0
2023-11-27,마포구,3.0,0
2023-11-27,서대문구,3.0,0
2023-11-27,서초구,2.5,0
2023-11-27,은평구,3.0,0
2023-11-27,성동구,3.0,0
2023-11-27,중구,3.0,0
2023-11-27,성북구,3.5,0
2023-11-27,용산구,2.5,0
2023-11-27,양천구,2.0,0
2023-11-27,영등포구,2.0,0
2023-11-27,강남구,3.0,0
2023-11-27,강동구,2.5,0
2023-11-27,강서구,1.0,0
2023-11-23,도봉구,0.5,0
2023-11-23,강북구,1.0,0
2023-11-17,서초구,0.5,0
2023-11-17,관악구,0.5,0
2023-11-17,구로구,0.5,0
2023-11-17,금천구,0.5,0
2023-11-16,금천구,8.5,0
2023-11-16,노원구,4.5,0
2023-11-16,광진구,7.0,0
2023-11-16,서대문구,8.5,0
2023-11-16,서초구,6.5,0
2023-11-16,성동구,7.5,0
2023-11-16,성북구,10.0,0
2023-11-16,송파구,5.5,0
2023-11-16,구로구,17.0,0
2023-11-16,영등포구,8.0,0
2023-11-16,용산구,8.5,0
2023-11-16,중구,8.0,0
2023-11-16,도봉구,11.0,0
2023-11-16,양천구,8.0,0
2023-11-16,동대문구,7.5,0
2023-11-16,마포구,9.5,0
2023-11-16,강서구,4.5,0
2023-11-16,관악구,9.0,0
2023-11-16,강북구,12.5,0
2023-11-16,강남구,7.0,0
2023-11-16,강동구,7.0,0
2023-11-09,금천구,2.0,0
2023-11-09,노원구,5.5,0
2023-11-09,도봉구,9.0,0
2023-11-09,동대문구,5.0,0
2023-11-09,마포구,4.5,0
2023-11-09,서대문구,5.0,0
2023-11-09,서초구,1.5,0
2023-11-09,성동구,4.5,0
2023-11-09,성북구,8.5,0
2023-11-09,송파구,1.5,0
2023-11-09,양천구,6.0,0
2023-11-09,구로구,4.0,0
2023-11-09,영등포구,3.5,0
2023-11-09,중구,4.0,0
2023-11-09,용산구,5.0,0
2023-11-09,은평구,9.0,0
2023-11-09,강서구,11.0,0
2023-11-09,관악구,0.5,0
2023-11-09,광진구,3.5,0
2023-11-09,강북구,8.5,0
2023-11-09,강남구,1.5,0
2023-11-09,강동구,3.0,0
2023-11-07,강남구,1.0,0
2023-11-07,마포구,0.5,0
2023-11-07,서초구,1.0,0
2023-11-07,강북구,0.5,0
2023-11-07,관악구,0.5,0
