구별코드,전체인구,전체인구 (남),전체인구(여),65세이상 인구,65세이상 인구(남),65세이상 인구(여),65세이상 인구 내국인,65세이상 인구 내국인(남),65세이상 인구 내국인(여),65세이상 인구,65세이상 인구 등록외국인(남),65세이상 인구 등록외국인(여)
강남구,550282,262991,287291,86606,38884,47722,86434,38798,47636,172,86,86
강동구,463318,226237,237081,82984,37850,45134,82815,37764,45051,169,86,83
강북구,292977,141185,151792,68617,29561,39056,68473,29489,38984,144,72,72
강서구,568826,272338,296488,102096,44913,57183,101808,44769,57039,288,144,144
관악구,497883,249026,248857,85418,37963,47455,84762,37634,47128,656,329,327
광진구,351180,167562,183618,56819,25444,31375,56461,25257,31204,358,187,171
구로구,415651,204715,210936,79984,36288,43696,78377,35372,43005,1607,916,691
금천구,241105,121592,119513,45342,20814,24528,44531,20372,24159,811,442,369
노원구,502925,241099,261826,96422,40967,55455,96309,40914,55395,113,53,60
도봉구,309494,149675,159819,70436,31415,39021,70374,31395,38979,62,20,42
동대문구,359873,174120,185753,67030,29841,37189,66790,29731,37059,240,110,130
동작구,389714,187623,202091,70474,30730,39744,70089,30533,39556,385,197,188
마포구,375162,174073,201089,57895,24358,33537,57504,24166,33338,391,192,199
서대문구,320629,149879,170750,58113,24868,33245,57588,24603,32985,525,265,260
서초구,412078,196391,215687,65661,29709,35952,65541,29649,35892,120,60,60
성동구,284766,137620,147146,49462,21850,27612,49260,21738,27522,202,112,90
성북구,438168,208682,229486,80414,34674,45740,80232,34586,45646,182,88,94
소계,9638799,4649446,4989353,1743696,773032,970664,1733580,767705,965875,10116,5327,4789
송파구,660025,316981,343044,108894,50154,58740,108643,50027,58616,251,127,124
양천구,439252,214161,225091,76317,34234,42083,76126,34140,41986,191,94,97
영등포구,397800,195493,202307,67509,30726,36783,65843,29804,36039,1666,922,744
용산구,227106,109826,117280,39747,17416,22331,39239,17125,22114,508,291,217
은평구,470869,223330,247539,93817,40374,53443,93565,40246,53319,252,128,124
종로구,150453,71890,78563,28764,12997,15767,28500,12857,15643,264,140,124
중구,131793,63495,68298,25920,11490,14430,25525,11292,14233,395,198,197
중랑구,387470,189462,198008,78955,35512,43443,78791,35444,43347,164,68,96
