재해명,발생기간,우심피해지역,기상상황 (최대일강우량),피해내용 | 인명(명),피해내용 | 재산(억원)
"태풍 ""HINNAMNOR(힌남노)""",2022.8.28. ~ 9.6,전국,"342.4mm/day(포항), 43.1m/s(통영)",11,"2,128"
22년 8월 집중호우,2022.8.8. ~ 8.17,"서울, 경기, 강원, 충남","381.5mm/day(서울 동작구, 기상관측 이후 최대)",19,"3,155"
21년 7월 집중호우,2021.7.5. ~ 7.8,"전남 남해안(장흥, 강진, 해남 등)","74mm/h(장흥, 시간 최대강수량)",4,355
"태풍 ""HAISHEN(하이선)""",2020.9.1. ~ 9.7,전국,"547.5mm/day(제주 어리목, 누적강우), 42.3m/s(포항)",12,"2,214"
"태풍 ""MAYSAK(마이삭)""",2020.8.28. ~ 9.3,,"1,037.5mm (제주 한라산, 누적강우), 49.2m/s(제주)",,
20년 7월 집중호우,2020.7.28. ~ 8.11,전국,"79mm/h(대전), 102.5mm/h(안성), 89.5mm/h(양주)",57,"10,371"
"태풍 ""MITAG(미탁)""",2019.9.28. ~ 10.3,"전국(서울, 인천, 대전, 세종 제외)","110.5mm/day(삼척), 34m/s(삼척)",25,"1,677"
"태풍 ""LINGLING(링링)""",2019.9.2. ~ 9.8,"전국(부산, 대구 제외)","40.5mm/h(제주), 54.4m/s(흑산도)",13,334
"태풍 ""콩레이""",2018.10.4~10.7,"전남, 경북, 경남",310.0mm(제주),2,549
8.26~9.1 호우,2018.8.26~9.1,경기,96.5mm(서울),2,414
"태풍 ""솔릭""",2018.8.23~8.24,"전남, 경기, 경남",151.9mm(목포),,93
"태풍 ""쁘라빠룬""",2018.6.26~7.4,전남,112.0mm(보성),1,64
호우,2017.7.14~7.16,"청주, 괴산, 천안",290.2mm(청주),5,156
"태풍 ""치바""",2016.10.3~10.6,"경남, 울산, 부산, 경북, 제주, 전라, 인천",220.5mm(울릉),9,"1,859"
8.25 호우,2014.8.25,"부산(금정, 기정), 경남(창원, 고성)",248mm(창원),2,"1,342"
7.22~7.23 호우,2013.7.22~7.23,"경기(이천, 여주)",353mm(여주),3,625
"7.11~7.15,7.18 호우","2013.7.11~7.15,7.18","경기(가평), 강원(춘천, 홍천, 평창, 인제)",459mm(춘천),1,940
"태풍 ""신바""",2012.9.15~9.17,"제주, 전남, 경상도, 강원",405.2mm(제주),2,"3,657"
"태풍 ""볼라벤"" 및 ""덴빈""",2012.8.25~8.30,"제주, 전라도, 충청도",244.0mm(진도),11,"6,365"
호우,2011.7.26~7.29,"서울, 부산, 인천, 경기, 강원",449.5mm(동두천),67,"3,768"
